source,title,text,url,date,sentiment,polarity,subjectivity
Finviz,TSMC Sales Cool After Record Surge -- AI Orders Keep Outlook Bright,TSMC Sales Cool After Record Surge -- AI Orders Keep Outlook Bright,https://finance.yahoo.com/news/tsmc-sales-cool-record-surge-121228871.html,2025-11-12 07:12:00.000000,positive,0.525,0.725
Finviz,Nvidia Supplier Foxconn Posts 17% Profit Jump on AI Server Demand,Nvidia Supplier Foxconn Posts 17% Profit Jump on AI Server Demand,https://finance.yahoo.com/news/nvidia-supplier-foxconn-posts-17-121019595.html,2025-11-12 07:10:00.000000,neutral,0.0,0.0
Finviz,Prediction: 2 Stocks That'll Be Worth More Than Palantir 10 Years From Now,Prediction: 2 Stocks That'll Be Worth More Than Palantir 10 Years From Now,/news/223623/prediction-2-stocks-thatll-be-worth-more-than-palantir-10-years-from-now,2025-11-12 07:00:00.000000,positive,0.4,0.3
Finviz,Apples iPhone Air Is a Marketing Win and a Sales Flop,Apples iPhone Air Is a Marketing Win and a Sales Flop,https://finance.yahoo.com/m/2f8e782a-74d8-322b-b083-b1343ad96688/apple%E2%80%99s-iphone-air-is-a.html,2025-11-12 07:00:00.000000,positive,0.8,0.4
Finviz,24.7% of Warren Buffett's $315 Billion Portfolio at Berkshire Hathaway Is Invested in These 2 Unstoppable Stocks,24.7% of Warren Buffett's $315 Billion Portfolio at Berkshire Hathaway Is Invested in These 2 Unstoppable Stocks,/news/225712/247-of-warren-buffetts-315-billion-portfolio-at-berkshire-hathaway-is-invested-in-these-2-unstoppable-stocks,2025-11-12 07:00:00.000000,neutral,0.0,0.0
Finviz,"Foxconn's profits rise on AI server demand, teases OpenAI announcement","Foxconn's profits rise on AI server demand, teases OpenAI announcement",https://finance.yahoo.com/video/foxconns-profits-rise-ai-server-115730028.html,2025-11-12 06:57:00.000000,neutral,0.0,0.0
Finviz,Jeff Bezos Was Always Confident That The iPad Was No 'Kindle Killer' And He's Still Turning The Page On Apple: 'You Don't Understand My Audience',Jeff Bezos Was Always Confident That The iPad Was No 'Kindle Killer' And He's Still Turning The Page On Apple: 'You Don't Understand My Audience',https://finance.yahoo.com/news/jeff-bezos-always-confident-ipad-114604648.html,2025-11-12 06:46:00.000000,positive,0.5,0.833
Finviz,The Apple Ecosystem Is Humming Along (AVALON Podcast Episode),The Apple Ecosystem Is Humming Along (AVALON Podcast Episode),https://www.aboveavalon.com/notes/2025/11/9/the-apple-ecosystem-is-humming-along-avalon-podcast-episode,2025-11-12 06:37:00.000000,neutral,0.0,0.0
Finviz,How buying the dip & selling the rip is fueling investor gains,How buying the dip & selling the rip is fueling investor gains,https://finance.yahoo.com/video/buying-dip-selling-rip-fueling-113005363.html,2025-11-12 06:30:00.000000,neutral,0.0,0.0
Finviz,TV Is Becoming Messy Again (AVALON Podcast Episode),TV Is Becoming Messy Again (AVALON Podcast Episode),https://www.aboveavalon.com/notes/2025/11/9/tv-is-becoming-messy-again,2025-11-12 06:28:00.000000,positive,0.125,0.625
